TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
0,1974,,2,4,1,3,17,13.5,9.25,17,21,66,8,17,26,3,8,13,A,0,0,,F,U,$0 ,0,$0 
0,6294,,1,8,0,3,20,20,15.88,,26,92,14,35,79,5,5,24,A,0,23,67,F,U,"$186,800 ",85,$0 
1,46110,4,6,41,3,20,6,5.17,3.73,5,18,111,12,23,51,5,11,22,S,1,0,,M,U,"$87,600 ",36,"$38,750 "
1,185937,10,3,12,3,8,10,8.67,8.5,8.67,9,93,14,22,44,2,6,16,E,1,0,,M,U,"$139,200 ",27,"$38,942 "
0,29637,,1,1,1,1,20,20,20,20,21,21,10,15,13,4,7,6,F,0,35,53,M,U,"$168,100 ",37,"$71,509 "
1,112632,11,3,11,2,9,11,10.33,8.27,8,22,102,11,21,45,5,10,22,S,1,0,47,M,H,"$253,100 ",0,"$92,514 "
0,123712,,2,4,2,3,15,20,13,20,17,57,13,34,44,6,16,18,A,0,35,58,M,H,"$234,700 ",22,"$72,868 "
0,45409,,1,4,0,3,15,15,11.5,,18,90,10,19,40,4,4,15,A,0,8,,U,U,"$207,000 ",44,$0 
1,19094,40,1,3,0,1,35,35,28.33,,17,44,15,32,56,6,6,22,A,0,35,,F,U,"$137,300 ",32,$0 
0,178271,,1,5,1,2,6,20,11.6,20,18,78,14,28,50,5,11,18,A,0,13,,U,U,"$180,700 ",37,$0 
1,102224,6,3,16,2,13,6,6.33,6.13,6,17,107,12,23,40,6,12,21,S,1,15,,U,U,"$143,900 ",30,$0 
1,187915,20,2,,1,8,13.11,9.06,3.93,5,19,75,7,15,29,2,6,13,E,1,36,,F,U,"$134,400 ",41,$0 
0,182029,,1,1,0,0,20,20,20,,16,16,12,17,14,5,5,6,F,0,16,,F,U,"$68,200 ",47,$0 
0,188644,,2,4,0,0,10,15,11.5,,5,32,15,33,30,6,6,13,A,0,17,39,M,H,"$115,100 ",30,"$63,000 "
